重庆IPTV,#genre#
山东卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000261?AuthInfo=xxx
山东卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000183?AuthInfo=xxx
山西卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000179?AuthInfo=xxx
陕西卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000189?AuthInfo=xxx
深圳卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000226?AuthInfo=xxx
深圳卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000177?AuthInfo=xxx
四川卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000377?AuthInfo=xxx
四川卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000203?AuthInfo=xxx
天津卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000223?AuthInfo=xxx
天津卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000186?AuthInfo=xxx
西藏卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000178?AuthInfo=xxx
新疆卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000181?AuthInfo=xxx
云南卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000208?AuthInfo=xxx
浙江卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000224?AuthInfo=xxx
浙江卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000206?AuthInfo=xxx
社会与法,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000375?AuthInfo=xxx
社会与法,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000255?AuthInfo=xxx
时尚生活,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000369?AuthInfo=xxx
时尚生活,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000252?AuthInfo=xxx
手持电视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000246?AuthInfo=xxx
文体娱乐,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000370?AuthInfo=xxx
文体娱乐,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000254?AuthInfo=xxx
新农村,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000253?AuthInfo=xxx
重庆科教,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000373?AuthInfo=xxx
重庆科教,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000256?AuthInfo=xxx
重庆汽摩,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000364?AuthInfo=xxx
重庆少儿,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000374?AuthInfo=xxx
重庆少儿,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000245?AuthInfo=xxx
重庆卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000365?AuthInfo=xxx
重庆卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000251?AuthInfo=xxx
重庆卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000193?AuthInfo=xxx
重庆新闻,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000367?AuthInfo=xxx
重庆新闻,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000258?AuthInfo=xxx
重庆移动,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000249?AuthInfo=xxx
重庆影视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000372?AuthInfo=xxx
重庆影视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000257?AuthInfo=xxx
IPTV3+,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000150?AuthInfo=xxx
IPTV5+,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000149?AuthInfo=xxx
IPTV6+,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000148?AuthInfo=xxx
IPTV8+,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000147?AuthInfo=xxx
IPTV谍战剧场,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000154?AuthInfo=xxx
IPTV法治,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000152?AuthInfo=xxx
IPTV经典电影,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000156?AuthInfo=xxx
IPTV魅力时尚,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000157?AuthInfo=xxx
IPTV热播剧场,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000155?AuthInfo=xxx
IPTV少儿动画,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000158?AuthInfo=xxx
IPTV相声小品,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000151?AuthInfo=xxx
IPTV野外,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000153?AuthInfo=xxx
CETV1,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000363?AuthInfo=xxx
CETV4,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000362?AuthInfo=xxx
爱生活,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000318?AuthInfo=xxx
财富天下,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000263?AuthInfo=xxx
城市剧场,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000336?AuthInfo=xxx
地理,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000337?AuthInfo=xxx
动画,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000324?AuthInfo=xxx
动作影院,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000312?AuthInfo=xxx
高网,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000316?AuthInfo=xxx
古装剧场,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000334?AuthInfo=xxx
光影,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000320?AuthInfo=xxx
国学,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000327?AuthInfo=xxx
好学生,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000323?AuthInfo=xxx
家庭影院,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000311?AuthInfo=xxx
鉴赏,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000322?AuthInfo=xxx
解密,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000329?AuthInfo=xxx
金鹰卡通,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000162?AuthInfo=xxx
精选,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000330?AuthInfo=xxx
军旅剧场,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000335?AuthInfo=xxx
军事,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000328?AuthInfo=xxx
卡酷动画,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000159?AuthInfo=xxx
美人,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000331?AuthInfo=xxx
美妆,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000332?AuthInfo=xxx
墨宝,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000321?AuthInfo=xxx
全纪实,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000276?AuthInfo=xxx
山东教育卫视,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000339?AuthInfo=xxx
上海纪实,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000275?AuthInfo=xxx
台球,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000319?AuthInfo=xxx
武术,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000317?AuthInfo=xxx
武侠剧场,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000314?AuthInfo=xxx
喜剧影院,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000313?AuthInfo=xxx
戏曲,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000326?AuthInfo=xxx
星影,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000310?AuthInfo=xxx
音乐现场,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000333?AuthInfo=xxx
早教,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000325?AuthInfo=xxx
足球,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000315?AuthInfo=xxx
